Ime,Obdobje,Narodnost,Smer,Kraj 
"POCCETTI, Bernardino",Mannerism,Italian,painter,Florence
"LOMBARD, Lambert",Mannerism,Flemish,painter,Liège
"DALMAU, Lluis",Early Renaissance,Catalan,painter,Barcelona
BERTUCCIO DA VENEZIA,Medieval,Italian,goldsmith,Venice
"ROBERT, Hubert",Rococo,French,painter,
"CUYCK VAN MYEROP, Frans",Baroque,Flemish,painter,
"CASAS I CARBÓ, Ramón",Impressionism,Spanish,painter,
"TISCHBEIN, Johann Friedrich August",Neoclassicism,German,painter,Leipzig
"LHERMITTE, Léon-Augustin",Realism,French,painter,Paris
"QUARENGHI, Giacomo",Neoclassicism,Italian,architect,St. Petersburg
"HETSCH, Philipp Friedrich von",Neoclassicism,German,painter,Stuttgart
"PICHORE, Jean",High Renaissance,French,illuminator,Paris
"BERUETE, Aureliano",Impressionism,Spanish,painter,Madrid
"COUTURE, Thomas",Romanticism,French,painter,
"TESTELIN, Henri",Baroque,French,painter,
MASTER of the Cassoni Campana,High Renaissance,Italian,painter,Florence
"MAGGIORE, Giovanni Ambrogio",Mannerism,Italian,sculptor,
"VERMEER VAN HAARLEM, Jan the Younger",Baroque,Dutch,painter,Haarlem
"PISANO, Nino",Medieval,Italian,sculptor,Pisa
"GAUSSON, Léo",Impressionism,French,painter,Paris
"CROME, John",Romanticism,English,painter,Norwich
"LISS, Johann",Baroque,German,painter,Italy
"PATER, Jean Baptiste Joseph",Baroque,French,painter,Paris
"WERTINGER, Hans",Northern Renaissance,German,painter,Landshut
FRANCESCO DI VANNUCCIO,Medieval,Italian,painter,Siena
"BENOUVILLE, François-Léon",Romanticism,French,painter,Paris
LEONARDO DI BERNARDINO DEL SIGNORACCIO,High Renaissance,Italian,painter,Pistoia
"BRUEGHEL, Pieter the Younger",Mannerism,Flemish,painter,Antwerp
"LIEBERMANN, Max",Impressionism,German,painter,
"HACKERT, Georg Abraham",Neoclassicism,German,painter,
"VONNOH, Robert William",Impressionism,American,painter,
"ALTISSIMO, Cristofano dell'",Mannerism,Italian,painter,Florence
"MEULEN, Adam Frans van der",Baroque,Flemish,painter,
"ABAQUESNE, Masséot",High Renaissance,French,potter,
"TIRALI, Andrea",Baroque,Italian,architect,Venice
"ROCCA, Giacomo",Mannerism,Italian,painter,Rome
"CAFFI, Ippolito",Romanticism,Italian,painter,
FRANCESCO DI SIMONE DA SANTACROCE,Early Renaissance,Italian,painter,Venice
"ROSLIN, Alexander",Rococo,Swedish,painter,
"KOBELL, Franz",Rococo,German,painter,Munich
"CHANTREY, Sir Francis Legatt",Neoclassicism,English,sculptor,
"BLOMMENDAEL, Reyer van",Baroque,Dutch,painter,
"SERRES, Dominic",Neoclassicism,French,painter,London
"FRACANZANO, Cesare",Mannerism,Italian,painter,Naples
"DELL, Peter the Elder",Northern Renaissance,German,sculptor,Würzburg
"PENNI, Giovan Francesco",High Renaissance,Italian,painter,Rome
"BLOEMEN, Pieter van",Baroque,Flemish,painter,Antwerp
"SAMOSTRZELNIK, Stanislaw",Medieval,Polish,painter,Cracow
"BOURDICHON, Jean",Early Renaissance,French,illuminator,Tours
"THAULOW, Fritz",Realism,Norwegian,painter,
"TERBORCH, Gerard",Baroque,Dutch,painter,Deventer
"GODEFROYD, Etienne",Medieval,French,goldsmith,Naples
"HOUDON, Jean-Antoine",Rococo,French,sculptor,
"SZINYEI MERSE, Pál",Impressionism,Hungarian,painter,
"CASINI, Valore",Baroque,Italian,painter,Florence
"FLURER, Franz Ignaz",Baroque,German,painter,
"ALTOMONTE, Martino",Baroque,Austrian,painter,
"MAZZIERE, Agnolo di Domenico",Early Renaissance,Italian,painter,Florence
"NOUAILHER, Couly II",High Renaissance,French,goldsmith,Limoges
"MARCONI, Rocco",High Renaissance,Italian,painter,Venice
"GIULIANI, Giovanni",Baroque,Italian,sculptor,Vienna
"RIPPL-RÓNAI, József",Impressionism,Hungarian,painter,
MASTER THEODERIC,Medieval,Bohemian,painter,Prague
"VIVARINI, Antonio",Early Renaissance,Italian,painter,Venice
"DELAROCHE, Paul",Romanticism,French,painter,
"TILLEMANS, Peter",Rococo,English,painter,
ANTONELLO da Messina,Early Renaissance,Italian,painter,
"HUBER, Jean",Rococo,Swiss,painter,Geneva
"GRIMMER, Abel",Mannerism,Flemish,painter,Antwerp
"MAZZONI, Sebastiano",Baroque,Italian,painter,Venice
"STOOP, Maerten",Baroque,Dutch,painter,
GIROLAMO DA TREVISO the Younger,High Renaissance,Italian,painter,
"ELSHEIMER, Adam",Mannerism,German,painter,Rome
"MAGNO, Giovanni Battista",Baroque,Italian,painter,Rome
"SALÒ, Pietro di Lorenzo da",High Renaissance,Italian,sculptor,Venice
"PESNE, Antoine",Baroque,French,painter,
"HEADE, Martin Johnson",Realism,American,painter,
GIOVANNI DA MODENA,Early Renaissance,Italian,painter,Bologna
"LANDSEER, Charles",Romanticism,English,painter,London
"SARACENI, Carlo",Baroque,Italian,painter,Rome
"ROSSELLI, Francesco",Early Renaissance,Italian,painter,Florence
"PICOT, François-Edouard",Neoclassicism,French,painter,Paris
"ROELOFS, Willem",Realism,Dutch,painter,
"BRAY, Jan de",Baroque,Dutch,painter,Haarlem
"JORDAENS, Jacob",Baroque,Flemish,painter,Antwerp
"OMODEO, Giovanni Antonio",Early Renaissance,Italian,sculptor,
"AUDRAN, Claude III",Baroque,French,painter,Paris
"WERFF, Adriaen van der",Baroque,Dutch,painter,Rotterdam
"JOHANSEN, Viggo",Impressionism,Danish,painter,Skagen
"CARREÑO DE MIRANDA, Juan",Baroque,Spanish,painter,Madrid
"MELONE, Altobello",High Renaissance,Italian,painter,Cremona
"COUSTOU, Guillaume II",Neoclassicism,French,sculptor,Paris
"MARTIN, Henri-Jean-Guillaume",Impressionism,French,painter,Paris
"SPINELLI, Parri",Early Renaissance,Italian,painter,Arezzo
"LEBOURG, Albert-Charles",Impressionism,French,painter,
"BENING, Alexander",Northern Renaissance,Flemish,illuminator,Ghent
"FIGUEIREDO, Cristóvano",High Renaissance,Portuguese,painter,
"TORRENTIUS, Johannes",Baroque,Dutch,painter,Amsterdam
GIOVANNI DI PIETRO,High Renaissance,Italian,painter,Spoleto
"NÚÑEZ DE VILLAVICENCIO, Pedro",Baroque,Spanish,painter,Seville
"RAFFAËLLI, Jean-François",Realism,French,painter,Paris
"DIZIANI, Antonio",Rococo,Italian,painter,Venice
"BURGOS, Juan de",Early Renaissance,Spanish,painter,León
"GOYA Y LUCIENTES, Francisco de",Romanticism,Spanish,painter,
"FROMENTIN, Eugène",Realism,French,painter,
"FORRESTER, James",Rococo,Irish,painter,Rome
SASSETTA,Early Renaissance,Italian,painter,Siena
"SPINAZZI, Innocenzo",Baroque,Italian,sculptor,Florence
"ESSELENS, Jacob",Baroque,Dutch,painter,Amsterdam
"PAOLINI, Pietro",Baroque,Italian,painter,Lucca
"CORTE, Juan de la",Baroque,Spanish,painter,Madrid
"TIEPOLO, Lorenzo",Rococo,Italian,painter,Venice
"GRANACCI, Francesco",High Renaissance,Italian,painter,Florence
JACOPO del SELLAIO,Early Renaissance,Italian,painter,Florence
"DIJCK, Floris Claesz van",Baroque,Dutch,painter,Haarlem
"SANMICHELI, Michele",High Renaissance,Italian,architect,Verona
ALTICHIERO da Zevio,Medieval,Italian,painter,Verona
"CAVALLINI, Pietro",Medieval,Italian,painter,Rome
"BELLOTTI, Pietro",Baroque,Italian,painter,
"MARÉES, George de",Rococo,Swedish,painter,Munich
"JACOBSZ., Lambert",Baroque,Dutch,painter,Amsterdam
"BLEYSWIJCK, Cornelis Adriaensz van",Baroque,Dutch,goldsmith,Delft
PIERINO DA VINCI,High Renaissance,Italian,sculptor,
"CAVINO, Giovanni da",High Renaissance,Italian,sculptor,Padua
"VASSALLETTO, Pietro",Medieval,Italian,sculptor,Rome
"LISAERT, Pieter III",Mannerism,Flemish,painter,Antwerp
"TRICHT, Arnt van",Northern Renaissance,Netherlandish,sculptor,Kalkar
"BISSCHOP, Cornelis",Baroque,Dutch,painter,Dordrecht
SCARSELLINO,High Renaissance,Italian,painter,Ferrara
"HITCHCOCK, George",Impressionism,American,painter,The Netherlands
"PLATZER, Johann Georg",Baroque,Austrian,painter,
"BALESTRA, Antonio",Baroque,Italian,painter,Verona
BALDASSARE D' ESTE,Early Renaissance,Italian,painter,Ferrara
"LOMBARDO, Antonio",Early Renaissance,Italian,sculptor,Venice
"FEDERIGHI, Antonio",Early Renaissance,Italian,architect,Siena
"PÉNICAUD, Jean I",Northern Renaissance,French,goldsmith,Limoges
"DEVIS, Anthony",Realism,English,painter,
GIORGIO D'ALEMAGNA,Early Renaissance,Italian,illuminator,
"MONTI, Francesco",Baroque,Italian,painter,
"TROYE, Edward",Romanticism,American,painter,
"KEY, Willem",Mannerism,Flemish,painter,Antwerp
"MONTORFANO, Giovanni Donato da",Early Renaissance,Italian,painter,Milan
"JERVAS, Charles",Baroque,Irish,painter,London
"VUILLARD, Édouard",Impressionism,French,painter,
"SARTORIUS, John Nost",Rococo,English,painter,
"LAEMEN, Christoffel Jacobsz van der",Baroque,Flemish,painter,Antwerp
"WIMAR, Carl",Realism,American,painter,St Louis
"BAUGIN, Lubin",Baroque,French,painter,Paris
"PATENIER, Joachim",Northern Renaissance,Flemish,painter,Antwerp
"BOLGI, Andrea",Baroque,Italian,sculptor,Rome
"TROY, Jean-François de",Baroque,French,painter,
MASTER of the Acquavella Still-Life,Baroque,Italian,painter,Rome
"LEMOINE, Marie-Victoire",Rococo,French,painter,Paris
"PIERONI, Alessandro",Mannerism,Italian,painter,
"TASSAERT, Octave",Romanticism,French,painter,
"COURTONNE, Jean-Baptiste, the Younger",Rococo,French,architect,
"FRAGIACOMO, Pietro",Realism,Italian,painter,Venice
"GALLEN-KALLELA, Akseli",Impressionism,Finnish,painter,
"CLEVELEY, John the Younger",Rococo,English,painter,Deptford
"BOSSCHAERT, Johannes",Baroque,Dutch,painter,Utrecht
"TOORENVLIET, Jacob",Baroque,Dutch,painter,Leiden
FRANCESCO DI ANTONIO DEL CHIERICO,Early Renaissance,Italian,illuminator,Florence
"BOLDRINI, Niccolò",High Renaissance,Italian,painter,Venice
"VASSALLETTO, marble worker family",Medieval,Italian,sculptor,Rome
"RINCÓN DE FIGUEROA, Fernando del",Early Renaissance,Spanish,painter,Castile
"GONZALÈS, Eva",Impressionism,French,painter,Paris
"FERG, Franz de Paula",Rococo,Austrian,painter,
"MAZZOLA BEDOLI, Girolamo",Mannerism,Italian,painter,Parma
"ABONDIO, Antonio",Mannerism,Italian,sculptor,Vienna
"BERRUGUETE, Alonso",High Renaissance,Spanish,sculptor,
GIOVANNI DI PAOLO,Early Renaissance,Italian,painter,Siena
"BRECK, John Leslie",Impressionism,American,painter,
"MESSMER, Franz",Rococo,Austrian,painter,Vienna
BERNARDINO DI MARIOTTO DELLO STAGNO,High Renaissance,Italian,painter,Perugia
"GREGORIUS, Albert",Neoclassicism,Belgian,painter,
"WITHOOS, Matthias",Baroque,Dutch,painter,Amersfoort
"PULZONE, Scipione",High Renaissance,Italian,painter,
"FUGA, Ferdinando",Baroque,Italian,architect,
"ASTRUC, Zacharie",Impressionism,French,painter,Paris
"CISERI, Antonio",Realism,Italian,painter,Florence
SIMONE MARTINI,Medieval,Italian,painter,Siena
"HOUBRAKEN, Arnold",Baroque,Dutch,painter,
"ROSSELLINO, Bernardo",Early Renaissance,Italian,architect,Florence
MASTER of Flora,Mannerism,French,painter,Fontainebleau
"BOUCQUET, Vigor",Baroque,Flemish,painter,
"COMINELLI, Andrea",Baroque,Italian,architect,Venice
"BRUGMAN, Willem Claesz.",Baroque,Dutch,goldsmith,Delft
"WRIGHT, Joseph",Baroque,English,painter,Derby
"TOURNIÈRES, Robert",Baroque,French,painter,
"BLEKER, Gerrit Claesz",Baroque,Dutch,painter,Haarlem
"ROCCATAGLIATA, Nicolò",Baroque,Italian,sculptor,Venice
"KRAEN, Adriaen Jansz.",Baroque,Dutch,painter,Haarlem
BARTOLOMEO DI FRUOSINO,Early Renaissance,Italian,illuminator,Florence
"RAVESTEYN, Dirck de Quade van",Mannerism,Flemish,painter,
"FABRITIUS, Barent",Baroque,Dutch,painter,
"HOLBEIN, Hans the Younger",Northern Renaissance,German,painter,
"OPITZ, Georg Emanuel",Romanticism,German,painter,Leipzig
"NELLI, Plautilla",High Renaissance,Italian,painter,Florence
"DUYNEN, Isaac van",Baroque,Dutch,painter,The Hague
"POSI, Paolo",Rococo,Italian,architect,Rome
POMARANCIO,Mannerism,Italian,painter,Rome
"BARYE, Antoine-Louis",Romanticism,French,sculptor,
GENTILE DA FABRIANO,Medieval,Italian,painter,
"VIANI, Giovanni Maria",Baroque,Italian,painter,Bologna
"STANFIELD, Clarkson",Romanticism,English,painter,
MASTER of Female Half-lengths,Mannerism,Flemish,painter,Antwerp
"SAVOYEN, Carel van",Baroque,Flemish,painter,Amsterdam
"CACCIA, Orsola Maddalena",Baroque,Italian,painter,Moncalvo
"LUYCKX, Frans",Baroque,Flemish,painter,
"PO, Giacomo del",Baroque,Italian,painter,Naples
"GRÉSELY, Gabriel-Gaspard",Baroque,French,painter,Paris
"BOZE, Joseph",Rococo,French,painter,Paris
"ROUBILIAC, Louis-François",Baroque,French,sculptor,London
"GIAMBONO, Michele",Early Renaissance,Italian,painter,Venice
"RONDINELLI, Niccolò",Early Renaissance,Italian,painter,Venice
"LE TAVERNIER, Jean",Northern Renaissance,Flemish,illuminator,Burgundy
GIOVANNI D'ALEMAGNA,Early Renaissance,German,painter,Venice
"HENRIQUES, Francisco",High Renaissance,Portuguese,painter,
PIETRO DA FANO,Early Renaissance,Italian,sculptor,Mantua
"JONES, Thomas",Rococo,English,painter,
"COOMANS, Pierre Olivier Joseph",Realism,Belgian,painter,
"PEETERS, Jan",Baroque,Flemish,painter,
"TORRIGIANI, Sebastiano",Mannerism,Italian,sculptor,
"SCHWIND, Moritz von",Romanticism,Austrian,painter,
"GHERARDI, Antonio",Baroque,Italian,painter,Rome
"NUVOLONE, Carlo Francesco",Baroque,Italian,painter,Milan
"CAVALETTO, Giovanni Battista",High Renaissance,Italian,illuminator,Bologna
"COOKE, Edward William",Realism,English,painter,London
"VALLIN, Jacques-Antoine",Rococo,French,painter,Paris
"CORTONA, Pietro da",Baroque,Italian,painter,Rome
"WINTERHALTER, Franz Xaver",Romanticism,German,painter,
"DUPRÉ, Giovanni",Romanticism,Italian,sculptor,Florence
"MORE, Jacob",Rococo,Scottish,painter,Rome
"FRANCKEN, Hieronymus, II",Baroque,Flemish,painter,Antwerp
"BECCAFUMI, Domenico",High Renaissance,Italian,painter,Siena
"OLIVIERI, Pier Paolo",Mannerism,Italian,sculptor,Rome
"STORCK, Abraham",Baroque,Dutch,painter,Amsterdam
"GRAVE, Josua de",Baroque,Dutch,painter,
"BRAY, Salomon de",Baroque,Dutch,painter,Haarlem
"D'ORSI, Achille",Realism,Italian,sculptor,Naples
"MÉNAGEOT, François-Guillaume",Rococo,French,painter,
"SCACCO, Cristoforo",Early Renaissance,Italian,painter,
ODERISIUS OF BENEVENTO,Medieval,Italian,sculptor,
"SCHIAVONE, Giorgio",Early Renaissance,Italian,painter,
"SOREAU, Isaak",Baroque,German,painter,
"METSU, Gabriel",Baroque,Dutch,painter,Leiden
"LAURANA, Francesco",Early Renaissance,Italian,sculptor,
"SUSINI, Antonio",Baroque,Italian,sculptor,Florence
"SCOTT, Samuel",Baroque,English,painter,
"O'CONNOR, James Arthur",Romanticism,Irish,painter,
GIORGIONE,Early Renaissance,Italian,painter,Venice
"PAÁL, László",Realism,Hungarian,painter,Barbizon
"HILDEBRANDT, Ferdinand Theodor",Realism,German,painter,Düsseldorf
"DIJCK, Abraham van",Baroque,Dutch,painter,Amsterdam
"LE BRUN, Charles",Baroque,French,painter,Paris
"GIJSBRECHTS, Franciscus",Baroque,Flemish,painter,
"FALGUIÈRE, Jean Alexandre Joseph",Realism,French,sculptor,Paris
GIOVANNI da Bologna ,Medieval,Italian,painter,
"CALLET, Antoine-François",Rococo,French,painter,
"OSTADE, Adriaen Jansz. van",Baroque,Dutch,painter,Haarlem
"CABIANCA, Francesco",Baroque,Italian,sculptor,Venice
"SEGANTINI, Giovanni",Impressionism,Italian,painter,
"ROBIE, Jean-Baptiste",Realism,Belgian,painter,
BARTOLOMEO VENETO,High Renaissance,Italian,painter,Venice
"PISSARRO, Camille",Impressionism,French,painter,
"FOSCHI, Pier Francesco",High Renaissance,Italian,painter,Florence
LORENTINO D'AREZZO,Early Renaissance,Italian,painter,Arezzo
"MACTAGGART, William",Romanticism,Scottish,painter,
"MAZZA, Tommaso del",Medieval,Italian,painter,Florence
"CAMPI, Vincenzo",Mannerism,Italian,painter,Cremona
"LIPPI, Lorenzo",Baroque,Italian,painter,Florence
"BELVEDERE, Andrea",Baroque,Italian,painter,Naples
"VUCHT, Jan van",Baroque,Dutch,painter,Rotterdam
MANNO DI BANDINO,Medieval,Italian,goldsmith,Bologna
"PETRINI, Giuseppe Antonio",Baroque,Swiss,painter,Lugano
"HAYEZ, Francesco",Romanticism,Italian,painter,
"TUXEN, Laurits Regner",Realism,Danish,painter,
"LASSALLE-BORDES, Gustave",Romanticism,French,painter,Paris
"BEGAS, Carl the Elder",Romanticism,German,painter,
GIOVANNI DI NICOLA DA PISA,Medieval,Italian,painter,Pisa
"THIJS, Pieter",Baroque,Flemish,painter,Antwerp
"DELPY, Hippolyte-Camille",Realism,French,painter,
"QUELLINUS, Erasmus II",Baroque,Flemish,painter,Antwerp
MASTER FRANCKE,Northern Renaissance,German,painter,Hamburg
"CONTI, Francesco",Baroque,Italian,painter,Florence
"FERENCZY, Károly",Impressionism,Hungarian,painter,
"VALCKERT, Werner Jacobsz. van den",Baroque,Dutch,painter,
"SARDI, Giuseppe",Baroque,Italian,architect,Venice
"MANOPOLA, Bartolomeo",Mannerism,Italian,architect,Venice
"VOS, Simon de",Baroque,Flemish,painter,Antwerp
"MEYTENS, Martin van, II",Baroque,Austrian,painter,
"BÉRAUD, Jean",Impressionism,French,painter,Paris
"MEIFRÉN Y ROIG, Eliseo",Impressionism,Catalan,painter,
"SLUTER, Claus",Medieval,Netherlandish,sculptor,Dijon
GIROLAMO DI BENVENUTO,High Renaissance,Italian,painter,Siena
"PROKOF'YEV, Ivan Prokof'yevich",Neoclassicism,Russian,sculptor,St. Petersburg
"DÍAZ, Diego Valentín",Baroque,Spanish,painter,Valladolid
"GILMAN, Harold",Impressionism,English,painter,
"ARTHOIS, Jacques d'",Baroque,Flemish,painter,Brussels
"RICCIO, Il",High Renaissance,Italian,sculptor,Padua
"STREECK, Hendrick van",Baroque,Dutch,painter,Amsterdam
"GENNARI, Benedetto II",Baroque,Italian,painter,
"LUINI, Bernardino",High Renaissance,Italian,painter,Lombardy
"NERI, Pietro Martire",Baroque,Italian,painter,
COLA DA CAPRAROLA,High Renaissance,Italian,architect,
"BOUTON, Charles-Marie",Neoclassicism,French,painter,Paris
CORREGGIO,High Renaissance,Italian,painter,Parma
"GIOVANETTI, Matteo",Medieval,Italian,painter,Avignon
"MONTICELLI, Adolphe",Romanticism,French,painter,Marseille
"UNTERBERGER, Michelangelo",Baroque,Austrian,painter,
"LORENZI, Battista di Domenico",Mannerism,Italian,sculptor,Florence
"WUTKY, Michael",Rococo,Austrian,painter,
"PÉREZ SIERRA, Francisco",Baroque,Spanish,painter,Madrid
"RIBOT, Théodule-Augustin",Realism,French,painter,
"DUCHÉ DE VANCY, Gaspard ",Rococo,French,painter,
"RENI, Guido",Baroque,Italian,painter,Bologna
"LEINBERGER, Hans",Northern Renaissance,German,sculptor,Landshut
"CABAILLOT-LASSALLE, Camille-Léopold",Realism,French,painter,Paris
"GRASSER, Erasmus",Northern Renaissance,German,sculptor,Munich
"BELLE, Clément-Louis-Marie-Anne",Rococo,French,painter,Paris
"NOCRET, Jean",Baroque,French,painter,
"MERSSEMAN, Auguste Joseph Marie de",Realism,Belgian,painter,Antwerp
"FRIES, Ernst",Romanticism,German,painter,
GUIDO DI GRAZIANO,Medieval,Italian,painter,Siena
"SCAMOZZI, Vincenzo",High Renaissance,Italian,architect,Venice
"MERCK, Jacob Fransz. van der",Baroque,Dutch,painter,
"LIN, Herman van",Baroque,Dutch,painter,Utrecht
"REYMOND, Pierre",High Renaissance,French,goldsmith,Limoges
"GROPPO, Cesare",Baroque,Italian,sculptor,Venice
"AKEN, Joseph van",Rococo,Flemish,painter,London
"DUCA, Jacopo del",Mannerism,Italian,sculptor,Sicily
"VALCKENBORCH,  Gillis van",Mannerism,Flemish,painter,Frankfurt am Main
"BAILLY, Jacques I",Baroque,French,miniaturist,Paris
"PANNINI, Giovanni Paolo",Baroque,Italian,painter,Rome
"EYCK, Hubert van",Northern Renaissance,Flemish,painter,
GIAMPIETRINO,High Renaissance,Italian,painter,Milan
"MALVITO, Tommaso",Early Renaissance,Italian,architect,
"BONSIGNORI, Francesco",Early Renaissance,Italian,painter,Verona
CAROLUS-DURAN,Realism,French,painter,Paris
"SCHALLER, Johann Nepomuk",Romanticism,German,sculptor,
"MELZI, Francesco",High Renaissance,Italian,painter,
"GRUBICY DE DRAGON, Vittore",Impressionism,Italian,painter,
"TERRENI, Giuseppe Maria ",Neoclassicism,Italian,painter,Livorno
"KÖNIG, Johann",Baroque,German,painter,Augsburg
"DURAND-BRAGER, Jean Baptiste Henri",Realism,French,painter,
"CAVALLI, Gian Marco",Early Renaissance,Italian,sculptor,
