Ime,Obdobje,Narodnost,Smer,Kraj
"MAGATTI, Pietro Antonio",Baroque,Italian,painter,
"ESPINOSA, Juan de",Baroque,Spanish,painter,Madrid
"LUNY, Thomas",Rococo,English,painter,
GIOVANNI DI PIAMONTE,Early Renaissance,Italian,painter,
"PEREYRA, Manuel",Baroque,Portuguese,sculptor,
"HELT STOCKADE, Nicolaes van",Baroque,Dutch,painter,
"MARIGLIANO, Giovanni",High Renaissance,Italian,sculptor,Naples
"TROTTI, Giovanni Battista",Mannerism,Italian,painter,Cremona
"BREITNER, George Hendrik",Impressionism,Dutch,painter,Amsterdam
"SPITZWEG, Carl",Romanticism,German,painter,Munich
"NOTKE, Bernt",Northern Renaissance,German,sculptor,
"TOMMASI, Adolfo",Impressionism,Italian,painter,Florence
"ALTOMONTE, Bartolomeo",Baroque,Austrian,painter,
"WEISSENBRUCH, Jan Hendrik",Impressionism,Dutch,painter,The Hague
"ALLSTON, Washington",Romanticism,American,painter,
GUIDO DA SIENA,Medieval,Italian,painter,Siena
"BASTIEN-LEPAGE, Jules",Realism,French,painter,Paris
"VARIN, Quentin",Baroque,French,painter,
NICCOLÒ DI SEGNA,Medieval,Italian,painter,Siena
JACOBELLO DEL BONOMO,Medieval,Italian,painter,
"VERELST, Maria",Rococo,Dutch,painter,London
"ANCHER, Anna Kirstine",Impressionism,Danish,painter,Skagen
"STEENWYCK, Hendrick van the Younger",Baroque,Flemish,painter,
PAOLO DI GIOVANNI FEI,Medieval,Italian,painter,Siena
"ANCONA, Vito d'",Realism,Italian,painter,Florence
"FLORIGERIO, Sebastiano",High Renaissance,Italian,painter,Friuli
"BEVILACQUA, Giovanni Carlo",Neoclassicism,Italian,painter,Venice
"COYPEL, Charles-Antoine",Baroque,French,painter,
"RAHL, Carl",Romanticism,Austrian,painter,Vienna
"RUYSCH, Rachel",Baroque,Dutch,painter,Amsterdam
"UNKNOWN MASTERS, Portuguese",Early Renaissance,Portuguese,painter,
"MANDIJN, Jan",Northern Renaissance,Flemish,painter,Antwerp
"ENDER, Thomas",Romanticism,Austrian,painter,
"COURT, Jean de",Mannerism,French,painter,
"BEAUBRUN, Charles",Baroque,French,painter,Paris
"MOSER, Lucas",Northern Renaissance,German,painter,
"BOSIO, Jean François",Neoclassicism,French,painter,
"JERICHAU, Jens Adolph",Neoclassicism,Danish,sculptor,
"WYNANTS, Jan",Baroque,Dutch,painter,Amsterdam
PIER FRANCESCO FIORENTINO,Early Renaissance,Italian,painter,Florence
"VANNI, Lippo",Medieval,Italian,illuminator,Siena
"GRIMALDI, Giovanni Francesco",Baroque,Italian,painter,Rome
MICHELANGELO Buonarroti,High Renaissance,Italian,sculptor,
LE NAIN brothers,Baroque,French,painter,
"RIZZO, Antonio",Early Renaissance,Italian,sculptor,Venice
"NATUS, Johannes",Baroque,Dutch,painter,Middelburg
"CLAUSEN, George",Impressionism,English,painter,
"LOUTHERBOURG, Philip Jacques de",Rococo,French,painter,Paris
"RICHTER, Ferdinand",Baroque,German,painter,
NICOLA DA URBINO,High Renaissance,Italian,painter,Urbino
"HUNT, William Morris",Romanticism,American,painter,
"GUARANA, Jacopo",Rococo,Italian,painter,Venice
"POYET, Jean",Early Renaissance,French,illuminator,Tours
"SCHINKEL, Karl Friedrich",Romanticism,German,architect,
"GRANET, François-Marius",Neoclassicism,French,painter,
"FRANGIPANE, Niccolò",Mannerism,Italian,painter,Marches
"CHURRIGUERA, José Benito",Baroque,Spanish,architect,
"LÓPEZ, Francisco",Mannerism,Spanish,goldsmith,Lisbon
"VISCHER, Peter the Younger",Northern Renaissance,German,sculptor,Nuremberg
"RØRBYE, Martinus",Romanticism,Danish,painter,
"PLEYDENWURFF, Hans",Northern Renaissance,German,painter,Nuremberg
"BLANCHARD, Jacques",Baroque,French,painter,Paris
"HEERMANN, Paul",Baroque,German,sculptor,
"AGASSE, Jacques-Laurent",Neoclassicism,Swiss,painter,London
"BON, Giovanni",Early Renaissance,Italian,architect,
"URY, Lesser",Impressionism,German,painter,Berlin
"COESERMANS, Johannes",Baroque,Dutch,painter,Delft
"SARGENT, John Singer",Realism,American,painter,London
"RODE, Bernhard",Rococo,German,painter,Berlin
"CARPEAUX, Jean-Baptiste",Romanticism,French,sculptor,
