Ime_slikarja,Narodnost,Smer,Letnice_kraj 
"SHEE, Sir Martin Archer",Irish painter and,writer,"b. 1769, Dublin, d. 1850, Brighton"
MASTER of the Dominican Effigies,Italian,illuminator,active  c. 13281350 in Florence
"SCOTT, Samuel",English,painter,"b. ca. 1702, London, d. 1772, Bath"
"VERNET, Carle",French,painter,"b. 1758, Bordeaux, d. 1836, Paris"
"SWANENBURG, Isaac Claesz. van",Dutch,painter,"b. 1537, Leiden, d. 1614, Leiden"
"BERNARD, Joseph",French,sculptor,"b. 1866, Vienne, Isère, d. 1931, Boulogne-sur-Seine"
"VIANEN, Adam van",Dutch,silversmith,"b. ca. 1568, Utrecht, d. 1627, Utrecht"
MENEGHELLO di Giovanni de' Canali,Dalmatian/Italian,painter,documented 1383-1427
"GRAEB, Carl Georg Anton",German,painter,"b. 1816, Berlin, d. 1884, Berlin"
"FORAIN, Jean-Louis",French painter and,caricaturist,"b. 1852, Rheims, d. 1931, Paris"
"BEINASCHI, Giovan Battista",Italian painter and,engraver,"b. 1636, Fossano, nr Turin, d. 1688, Napoli"
"LEVY, Vaclav",Czech,sculptor,"b. 1820, Nebreziny, d. 1870, Pilsen"
"HOUASSE, René-Antoine",French,painter,"b. 1645, Paris, d. 1710, Paris"
"LOIR, Luigi",French,painter,"b. 1845, Gorritz, d. 1916, Paris"
UGOLINO DI NERIO,"Italian painter, Sienese",school,"active 1317, Siena, d. 1339/49, Siena"
"PEETERS, Gillis I",Flemish,painter,"b. 1612, Antwerpen, d. 1653, Antwerpen"
"TISCHBEIN, Johann Friedrich August",German,painter,"b. 1750, Maastricht, d. 1812, Heidelberg"
"LISIEWSKA, Anna Dorothea",German,painter,"b. 1721, Berlin, d. 1782, Berlin"
"VIGÉE-LEBRUN, Élisabeth",French,painter,"b. 1755, Paris, d. 1842, Paris"
"MASSYS, Cornelis",Flemish,painter,"b. 1510, Antwerpen, d. ca. 1556, Antwerpen"
FRANCESCO DA SANT'AGATA,Italian sculptor and,goldsmith,active 1491-1528 in Padua
"KOBELL, Franz",German,painter,"b. 1749, Mannheim, d. 1822, München"
FRANCESCO DA MILANO,Italian,goldsmith,active 1377-1388
"MORONE, Domenico","Italian painter, Veronese",school,"b. ca. 1442, Verona, d. ca. 1518, Verona"
"BERGOIJS, Claes",Dutch,painter,active 1651-1668 in Amsterdam
"COLLINO, Ignazio","Italian sculptor, Turin",school,"b. 1724, Torino, d. 1793, Torino"
"SCIORINA, Lorenzo dello",Italian,painter,active c. 1568 in Florence
"KOBERGER, Anton",German,printer,"b. ca. 1440, Nürnberg, d. 1513, Nürnberg"
"HEADE, Martin Johnson",American,painter,"b. 1819, Lumberville, 1904, Saint Augustine"
"VERMEER, Johannes",Dutch,painter,"b. 1632, Delft, d. 1675, Delft"
"URBINO, Carlo",Italian,draftsman,"b. ca. 1520, Crema, d. after 1585, Crema"
"KRÜGER, Franz",German,painter,"b. 1797, Grossbadegast bei Köthen, d. 1857, Berlin"
"HOEFNAGEL, Joris",Flemish,illuminator,"b. 1542, Anwerpen, d. 1601, Wien"
"FANTIN-LATOUR, Henri",French,painter,"b. 1836, Grenoble, d. 1904, Orne"
"SARAZIN DE BELMONT, Louise Joséphine",French,painter,"b. 1790, Versailles, d. 1870, Paris"
"ETEX, Antoine",French,sculptor,"b. 1808, Paris, d. 1888, Chaville"
"BEVERWIJCK, Johan van","Dutch physician,",publisher,"b. 1594, Dordrecht, d. 1647, Dordrecht"
"VILADOMAT Y MANALT, Antonio",Catalan,painter,"b. 1678, Barcelona, d. 1755, Barcelona"
"MUNKÁCSY, Mihály",Hungarian,painter,"b. 1844, Munkács, d. 1900, Endenich"
"TALENTI, Francesco",Italian,architect,"b. ca. 1300, d. after 1369, Firenze"
"HULSDONCK, Jacob van",Flemish,painter,"b. 1582, Antwerpen, d. 1647, Antwerpen"
"LEGA, Silvestro",Italian,painter,"b. 1826, Modigliana, d. 1895, Firenze"
"GIAQUINTO, Corrado",Italian,painter,"b. 1703, Molfetta, d. 1766, Napoli"
"CRIVELLI, Taddeo",Italian,illuminator,"active 1451, d. ca. 1479, Bologna"
"ZUCCHI, Andrea",Italian,printmaker,"b. 1679, Venezia, d. 1740, Dresden"
"RABEL, Daniel",French,printmaker,"b. 1578, Paris, d. 1637, Paris"
BAMBAIA,"Italian sculptor, Lombardian",school,"b. 1483, Busto Arsizio, d. 1548, Milano"
"SLODTZ, Paul-Ambroise",French,sculptor,"b. 1702, Paris, d. 1758, Paris"
"IVERNY, Jacques",French,painter,active about 1411-1435
"BOMBELLI, Sebastiano","Italian painter, Venetian",school,"b. 1635, Udine, d. 1719, Venezia"
"CHAUVIN, Pierre-Athanase",French,painter,"b. 1774, Paris, 1832, Roma"
"MAZZETTI TENCALLA, Carpoforo",Italian,stuccoist,"b. 1685, Bissone, d. 1743, Venezia"
"MIERIS, Frans van, the Younger","Dutch painter, Leiden",school,"b. 1689, Leiden, d. 1763, Leiden"
"MARATTI, Carlo","Italian painter, Roman",school,"b. 1625, Camerano, d. 1713, Roma"
"COOKE, George",English,painter,"b. 1781, London, d. 1834, London"
"RIPPL-RÓNAI, József",Hungarian,painter,"b. 1861, Kaposvár, d. 1927, Kaposvár"
"GALLIARI, Bernardino",Italian,painter,"b. 1707, Andorno Micca, d. 1794, Andorno Micca"
"OGGIONO, Marco d'","Italian painter, Lombard",school,"b. ca. 1467, Milano, d. 1524, Milano"
"KRAFFT, Per the Elder",Swedish,painter,"b. 1724, Arboga, d. 1793, Stockholm"
"VALKENBORCH, Frederik van",Flemish,painter,"b. 1566, Antwerpen, d. 1623, Nürnberg"
"RAOUX, Jean",French,painter,"b. 1677, Montpellier, d. 1734, Paris"
"FERENCZY, Károly",Hungarian,painter,"b. 1862, Wien, d. 1917, Budapest"
"SEISENEGGER, Jacob",Austrian,painter,"b. 1504/05, ?, d. 1567, Linz"
"FRATELLINI, Giovanna",Italian,painter,"b. 1666, Firenze, d. 1731, Firenze"
"GRAFF, Anton",German,painter,"b. 1736, Winterthur, d. 1813, Dresden"
"NÚÑEZ DELGADO, Gaspar",Spanish,sculptor,"b. ca. 1555, Ávila, d. 1606, Sevilla"
GISLEBERTUS,French Romanesque,sculptor,active 1100-1150
"CIAMPANTI, Michele di Michele",Italian,painter,active 1470-1510 in Lucca
"VASSALLO, Antonio Maria",Italian,painter,"b. ca. 1620, Genova, d. 1664/72, Milano"
"CRESPI, Luigi","Italian painter, Bolognese",school,"b. 1709, Bologna, d. 1779, Bologna"
"CLINT, George",English engraver and,painter,"b. 1770, London, d. 1854, London"
NICCOLÒ DELL' ARCA,"Italian sculptor, Bolognese",school,active 1462-94 in Bologna
"REICHLICH, Marx",Austrian,painter,"b. 1460, Salzburg, d. 1520, Salzburg"
"SACCHI, Andrea","Italian painter, Roman",school,"b. 1599, Nettuno, d. 1661, Roma"
"MATTHIEU, Georg David",German,painter,"b. 1737, Berlin, d. 1778, Ludwigslust"
"NORDSTRÖM, Karl Fredrik",Swedish,painter,"b. 1855, Stenkyrka, Västra Götalan, d. 1923, Drottningholm"
"ANDERSON, William",Scottish,painter,"b. 1757, Scotland, d. 1837, London"
"LEPRINCE, Auguste-Xavier",French painter and,printmaker,"b. 1799, Paris, d. 1826, Nice"
"SIGNORINI, Telemaco",Italian,painter,"b. 1835, Firenze, d. 1901, Firenze"
"LA FOSSE, Charles de",French,painter,"b. 1636, Paris, d. 1716, Paris"
"WIERIX, Jan",Flemish,engraver,"b. 1549, Antwerpen, d. ca. 1618, Bruxelles"
"BRONCHORST, Johannes van",Dutch,painter,"b. 1627, Utrecht, d. 1656, Amsterdam"
"RUSCONI, Camillo","Italian sculptor, Roman",school,"b. 1658, Milano, d. 1728, Roma"
"MISERONI, Gasparo",Italian lapidary,artist,"b. ca. 1518, Milano, d. 1573, Milano"
"TEMPESTA, Antonio",Italian painter and,engraver,"b. 1555, Firenze, d. 1630, Firenze"
"CHARONTON, Enguerrand","French painter, Avignon",school,"b. ca. 1410, Laon, d. ca. 1466, Avignon"
"FABRIS, Pietro",Italian,painter,active 1756-1779 in Naples
"PILLEMENT, Jean-Baptiste",French,painter,"b. 1728, Lyon, d. 1808, Lyon"
"BOTTANI, Giuseppe",Italian,painter,"b. 1717, Cremona, d. 1784, Mantova"
"VERMEER VAN HAARLEM, Jan the Elder",Dutch,painter,"b. 1628, Haarlem, d. 1691, Haarlem"
"TROOST, Cornelis",Dutch,painter,"b. 1697, Amsterdam, d. 1750, Amsterdam"
"BRETON, Jules",French painter and,writer,"b.1827, Courrières, d. 1906, Paris"
"POEL, Egbert van der","Dutch painter, Delft",school,"b. 1621, Delft, d. 1664, Rotterdam"
MASTERS of the Fontainebleau School,French,painters,second half of the 16th century
"CAMPI, Antonio","Italian painter, Cremonese",school,"b. 1523, Cremona, d. 1587, Cremona"
"BEZZI, Giovanni Francesco",Italian,painter,active c. 1530-1571 in Bologna
"BALTENS, Peeter",Flemish,painter,"b. ca. 1527, Antwerpen, d. before 1584, Antwerpen"
"THIJS, Pieter",Flemish,painter,"b. ca. 1624, Antwerpen, d. 1677, Antwerpen"
"DALEN, Cornelis van, the Elder",Dutch,engraver,"b. ca. 1602, Amsterdam, d. 1665, Amsterdam"
ANDREA DA MURANO,"Italian painter, Venetian",school,known 1462-1502
"FONTANA, Prospero","Italian painter, Bolognese",school,"b. 1512, Bologna, d. 1597, Bologna"
"CERVELLI, Federico",Italian,painter,"b. ca. 1638, Milano, d. 1700, Venezia"
"BONE, Henry",English,painter,"b. 1755, Truro, d. 1834, London"
"VANDERLYN, John",American,painter,"b. 1775, Kingston, d. 1852, Kingston"
"TOMMASI, Adolfo",Italian,painter,"b. 1851, Livorno, d. 1933, Firenze"
"BANTI, Cristiano",Italian,painter,"b. 1824, Santa Croce sull'Arno, d. 1904, Montemurlo"
"BORDONE, Benedetto",Italian miniaturist and,cartographer,"b. ca. 1460, Padova, d. 1539, Venezia"
"GIORGETTI, Antonio",Italian,sculptor,active 1660s in Rome
"MELLIN, Charles",French,painter,"b. ca. 1600, Nancy, d. 1649, Roma"
"DROLLING, Martin",French,painter,"b. 1752, Oberbergheim, d. 1817, Paris"
"PETRINI, Giuseppe Antonio",Swiss,painter,"b. 1677, Carona, d. ca. 1756, Lugano"
"NAIVEU, Matthijs",Dutch,painter,"b. 1647, Leiden, d. 1726, Amsterdam"
"FRÉMIN, René",French,sculptor,"b. 1672, Paris, d. 1744, Paris"
"DANHAUSER, Josef Franz",Austrian,painter,"b. 1805, Wien, d. 1845, Wien"
"ECKARDT, Christian Frederik Emil",Danish,painter,"b. 1832, København, d. 1914, København"
MICHELOZZO DI BARTOLOMEO,"Italian architect and sculptor, Florentine",school,"b. 1396, Florence, d. 1472, Florence"
"MAULBERTSCH, Franz Anton",Austrian,painter,"b. 1724, Langenargen, d. 1796, Wien"
"JANSSENS, Hieronymus",Flemish,painter,"b. 1624, Antwerpen, d. 1693, Antwerpen"
"ROGERS, Randolph",American,sculptor,"b. 1825, Waterloo, N.Y., d. 1892, Roma"
"VERESHCHAGIN, Petr Petrovich",Russian,painter,"b. 1836, Perm, d. 1886, St. Petersburg"
"SAINT-EVRE, Gillot",French painter and,engraver,"b. 1791, Boult-sur-Suippe, d. 1858, Paris"
"CLEVE, Hendrick van III",Flemish,painter,"b. ca. 1525, Antwerpen, d. ca. 1592, Antwerpen"
"NEEFFS, Peeter the Elder",Flemish,painter,"b. ca. 1578, Antwerpen, d. ca. 1656, Antwerpen"
"GELDORP, Gortzius",Flemish,painter,"b. 1553, Leuven, d. after 1619, Köln"
"VERSPRONCK, Jan Cornelisz",Dutch,painter,"b. ca. 1603, Haarlem, d. 1662, Haarlem"
"DUMONT, Augustin-Alexandre",French,sculptor,"b. 1801, Paris, d. 1884, Paris"
"MÉNAGEOT, François-Guillaume",French,painter,"b. 1744, London, d. 1816, Paris"
"SOLDI, Andrea",Italian,painter,"b. ca. 1703, Firenze, d. 1771, London"
"GIRODET DE ROUCY-TRIOSON, Anne-Louis",French,painter,"b. 1767, Montargis, d. 1824, Paris"
"DALENS, Dirck II",Dutch,painter,"b. 1659, Amsterdam, d. 1688, Amsterdam"
"FORABOSCO, Girolamo","Italian painter, Venetian",school,"b. 1605, Venezia, d. 1679, Padova"
PIETRO DI GIOVANNI TEDESCO, Italian sculptor of German,origin,active 1386-1402 in Florence
"WHEATLEY, Francis",English,painter,"b. 1747, London, d. 1801, London"
"MOREAU, Robert",Flemish,sculptor,active 1532-1540 in Antwerp
"NATTIER, Jean-Baptiste",French,painter,"b. 1678, Paris, d. 1726, Paris"
"CIGNANI, Carlo","Italian painter, Bolognese",school,"b. 1628, Bologna, d. 1719, Forli"
"NOVELLI, Antonio",Italian,sculptor,"b. 1600, Castelfranco di Sotto, d. 1662, Firenze"
"LIBALT, Gottfried",German,painter,"b. ca, 1610, Hamburg, d. 1666, Wien"
"VREL, Jacobus",Dutch,painter,active 1654-62 in Delft and Haarlem
"ROSSETTI, Dante Gabriel",English,painter,"b. 1828, London, d. 1882, Birchington on Sea"
MASTER M Z,German,engraver,active 1500-1510
"CHEERE, Sir Henry",English,sculptor,"b. 1703, London, d. 1781, London"
"WEBER, Henrik",Hungarian,painter,"b. 1818, Pest, d. 1866, Pest"
"PIETTE, Ludovic",French,painter,"b. 1826, Niort, Deux-Sèvres, d. 1877, Montfoucault"
"TRAVI, Antonio",Italian painter and,etcher,"b. 1608, Sestri Ponente, d. 1665, Sestri Ponente"
"MAYR, Johann Ulrich",German,painter,"b. 1630, Augsburg, d. 1704, Augsburg"
"CABIANCA, Francesco",Italian,sculptor,"b. 1665, Venezia, d. 1737, Venezia"
"PLUYM, Karel van der",Dutch painter and,etcher,"b. 1625, Leiden, d. 1672, Leiden"
"THIVAERT, Daniel Janszoon",Dutch,painter,"b. ca. 1613, Amsterdam, d. 1657, Amsterdam"
"DOSSI, Dosso","Italian painter, Ferrarese",school,"b. ca. 1490, Ferrara, d. 1542, Ferrara"
"BURGKMAIR, Hans",German,painter,"b. 1473, Augsburg, d. 1531, Augsburg"
"COTMAN, Frederick George",English,painter,"b. 1850, Ipswich, d. 1920, Felixstowe"
"BLANCHET, Thomas",French,painter/sculptor,"b. 1614, Paris, d. 1689, Lyon"
"BASTIEN-LEPAGE, Jules",French,painter,"b. 1848, Damvillers, Meuse, d. 1884, Paris"
"ASAM, Egid Quirin",German,sculptor/architect,"b. 1692, Tegernsee, d. 1750, Mannheim"
"CHRISTIAN, Johann Josef",German,sculptor,"b. 1706, Riedlingen, d. 1777, Riedlingen"
"BOUCHER, François",French,painter,"b. 1703, Paris, d. 1770, Paris"
"LOMBARD, Lambert",Flemish,painter,"b. 1505, Liège, d. 1566, Liège"
CORNELIS VAN HAARLEM,Dutch,painter,"b. 1562, Haarlem, d. 1638, Haarlem"
MASTER of the Aix Annunciation,French,painter,active in 1440s
MASTER of Pratovecchio,Italian,painter,active 1435-1455 in Florence
"GOOCH, Thomas",English,painter,"b. ca. 1750, London, d. 1802, Lyndhurst"
"OVENS, Jürgen",German,painter,"b. 1623, Tönning, d. 1678, Friedrichstadt"
"RECCO, Elena",Italian,painter,active 2nd half of 17th century
"DOYEN, Gabriel-François",French,painter,"b. 1726, Paris, d. 1806, St Petersburg"
"SOMM, Henry",French painter and,illustrator,"b. 1844, Rouen, d. 1907, Paris"
"BELLANGE, Jacques",French,painter,"b. 1594, Nancy, d. 1638, Nancy"
"PETERSSEN, Eilif",Norwegian,painter,"b. 1852, Christiania, d. 1928, Borum"
"ROUSSEL, Theodore",English painter and,etcher,"b. 1847, Lorient, d. 1926, St Leonards-on-Sea"
"MAYER, Marie-Constance",French,painter,"b. 1775, Paris, d. 1821, Paris"
"MATHAM, Jacob",Netherlandish,engraver,"b. 1571, Haarlem, d. 1631, Haarlem"
"DESHAYS, Jean-Baptiste",French,painter,"b. 1729, Colleville, d. 1765, Paris"
"BUGLIONI, Santi","Italian sculptor, Florentine",school,"b. 1494, Firenze, d. 1576, Firenze"
"KOBELL, Wilhelm von",German,painter,"b. 1766, Mannheim, d. 1853, München"
"VOET, Jacob Ferdinand",Flemish,painter,"b. 1639, Antwerpen, d. ca. 1700, Paris"
"HELST, Bartholomeus van der",Dutch,painter,"b. 1613, Haarlem, d. 1670, Amsterdam"
"ANDROUET DU CERCEAU, Jacques the Elder",French,engraver/architect,"b. ca. 1515, ?, d. 1584, Annecy"
DONATELLO,Italian,sculptor,"b. ca. 1386, Firenze, d. 1466, Firenze"
"LIOTARD, Étienne",Swiss,painter,"b. 1702, Geneve, d. 1789, Geneve"
"CARRACCI, Annibale","Italian painter, Bolognese",school,"b. 1560, Bologna, d. 1609, Roma"
"GONZÁLEZ VELÁZQUEZ, Antonio",Spanish,painter,"b. 1723, Madrid, d. 1794, Madrid"
"VELDE, Jan van de, I",Dutch,painter,"b. 1569, Antwerpen, d. 1623, Rotterdam"
TADDEO DI BARTOLO,"Italian painter, Sienese",school,"b. 1362/63, Siena, d. 1422, Siena"
"MILDORFER, Joseph Ignaz",Austrian,painter,"b. 1719, Innsbruck, d. 1775, Wien"
MASTER of the Joseph Sequence,Flemish,painter,active around 1500
"FESSARD, Etienne",French,engraver,"b. 1714, Paris, d. 1777, Paris"
"CRUIKSHANK, George",English,printmaker,"b. 1792, London, d. 1878, London"
"ROBUSTI, Marietta","Italian painter, Venetian",school,"b. ca. 1554, Venezia, d. ca. 1590, Venezia"
"MICHETTI, Nicola",Italian,architect,"b. 1675, Venezia, d. 1758, Roma"
"RAMEY, Claude",French,sculptor,"b. 1754, Dijon, d. 1838, Paris"
"JEFFERYS, Thomas",English,engraver,c. 17191771
"TIVOLI, Serafino de",Italian,painter,"b. 1826, Livorno, d. 1892, Firenze"
VILLARD DE HONNECOURT,French,architect,"b. ca. 1200, Picardy, d. ca. 1250"
"CABAT, Louis-Nicolas",French,painter,"b. 1812, Paris, d. 1893, Paris"
"TOLSTOY, Fyodor Petrovich",Russian,sculptor,"b. 1783, St. Petersburg, d. 1873, St. Petersburg"
"MILAN, Pierre",French,engraver,active 1545-1557 in Paris
"ENGERT, Erasmus",Austrian painter and,restorer,"b. 1796, Wien, d. 1871, Wien"
"TENIERS, David the Younger",Flemish,painter,"b. 1610, Antwerpen, d. 1690, Bruxelles"
"MARTIN, Pierre-Denis",French,painter,"b. ca. 1663, Paris, d. 1742, Paris"
"BOSCH, Hieronymus",Netherlandish,painter,"b. ca. 1450, 's-Hertogenbosch, d. 1516, 's-Hertogenbosch"
"ZANCHI, Antonio","Italian painter, Venetian",school,"b. 1631, Este, d. 1722, Venezia"
CECCO BRAVO,Italian,painter,"b. 1601, Firenze, d. 1661, Innsbruck"
MASTER I.P.,German,sculptor,active 1520s
"AGRATE, Gian Francesco Ferrari d'",Italian,sculptor,"b. 1489, Parma, d. ca. 1563, Parma"
"SCHEERE, Herman",German,illuminator,active 1403-1419 in England
"GRÉSELY, Gabriel-Gaspard",French,painter,"b. 1712, L'Isle-sur-le-Doubs, d. 1756, Besançon"
"PRÉAULT, Antoine-Augustin",French,sculptor,"b. 1809, Paris, d. 1879, Paris"
"GRILL, Anthonie",German,silversmith,"b. 1609, Augsburg, d. 1675, Sweden"
"BERGLER, Joseph the Elder",Austrian,sculptor,"b. 1718, Windischmatrei, d. 1788, Passau"
"COUSTOU, Guillaume I",French,sculptor,"b. 1677, Lyon, d. 1746, Paris"
PIETRO DI DOMENICO DA SIENA,"Italian painter, Sienese",school,"b. ca. 1457, Siena, d. ca. 1533, Siena"
"BRAY, Dirck de","Dutch painter, Haarlem",school,active 1651-1678
MASTER of the Story of Griselda,"Italian painter, Sienese",school,active 1490s in Siena
"CARDUCHO, Bartolomé",Spanish/Italian,painter,"b. 1554, Firenze, d. 1608, Madrid"
"LANDI, Gaspare",Italian,painter,"b. 1756, Piacenza, d. 1830, Piacenza"
"ROHLFS, Christian",German painter and,printmaker,"b. 1849, Niendorf, d. 1938, Hagen"
"PANTOJA DE LA CRUZ, Juan",Spanish,painter,"b. 1553, Valladolid, d. 1608, Madrid"
"BARATTA, Giovanni di Isidoro",Italian,sculptor,"b. 1670, Carrara, d. 1747, Carrara"
"CLAESZ, Pieter",Dutch,painter,"b. ca. 1597, Steinfurt, d. 1661, Haarlem"
"BAST, Pieter",Dutch cartographer and,engraver,"b. ca. 1550, Antwerpen, d. 1605, Leiden"
"GHERARDI, Filippo",Italian,painter,"b. 1643, Lucca, d. 1704, Lucca"
"HONDECOETER, Gijsbert Gillisz. de",Dutch,painter,"b. 1604, Utrecht, d. 1653, Utrecht"
"CARLEVARIS, Marianna","Italian painter, Venetian",school,"b. 1703, Venezia, d. ca. 1750, Venezia"
"IBBETSON, Julius Caesar",English,painter,"b. 1759, Leeds, d. 1817, Masham"
"COORNHERT, Dirck Volkertsz.",Dutch,printmaker,"b. 1522, Amsterdam, d. 1590, Gouda"
"SLUTER, Claus",Netherlandish,sculptor,"b. ca. 1350, Haarlem, d. 1406, Dijon"
"MASSOT, Firmin",Swiss,painter,"b. 1766, Genève, d. 1849, Genève"
"BOLLANDT, Heinrich",German,painter,"b. 1577, Bayreuth, d. ca. 1651, Bayreuth"
"MARSEUS VAN SCHRIECK, Otto",Dutch,painter,"b. 1619/20, Nijmegen, d. 1678, Amsterdam"
"MARILHAT, Prosper",French,painter,"b. 1811, Vertaizon, d. 1847, Paris"
"PLATZER, Johann Georg",Austrian,painter,"b. 1704, St Paul in Eppan, d. 1761, St Michael in Eppan"
"MAFFEI, Francesco","Italian painter, Venetian",school,"b. ca. 1600, Vicenza, d. 1660, Vicenza"
"SAFTLEVEN, Cornelis",Dutch,painter,"b. 1607, Gorinchem, d. 1681, Rotterdam"
"CATENA, Vincenzo","Italian painter, Venetian",school,"b. ca. 1480, Venezia, d. 1531, Venezia"
"STIELER, Karl Joseph",German,painter,"b. 1781, Mainz, d. 1858, München"
"SCHEEMAEKERS, Petrus the Elder",Flemish,sculptor,"b. 1652, Antwerpen, d. 1714, Arendonk"
"ASTOR, Diego de",Spanish/Flemish,engraver,"b. ca. 1587, Mechelen, d. ca. 1650, Madrid"
NICOLA DA URBINO,Italian maiolica,painter,"b. ca. 1480, Urbino, d. ca. 1538, Urbino"
"ROCCA, Giacomo",Italian,painter,d. ca. 1592
"WET, Jacob Willemsz. de, the Elder",Dutch,painter,"b. ca. 1610, Haarlem, d. 1675, Haarlem"
BACICCIO,"Italian painter, Roman",school,"b. 1639, Genova, d. 1709, Roma"
"GHIRLANDAIO, Ridolfo","Italian painter, Florentine",school,"b. 1483, Firenze, d. 1561, Firenze"
"KICK, Simon","Dutch painter, Amsterdam",school,"b. 1603, Delft, d. 1652, Amsterdam"
TOMMASO DI CREDI,Italian,painter,active 1490-1510 in Florence
"FRANCÉS, Nicolás",Spanish,painter,active 1424-1468 in Leon
"FETTI, Domenico",Italian,painter,"b. ca. 1589, Roma, d. 1623, Venezia"
"OLIVIERI, Pier Paolo","Italian sculptor, Roman",school,"b. 1551, Roma, d. 1599, Roma"
"KELLER, Heinrich",Swiss,sculptor,"b. 1771, Zürich, d. 1832, Napoli"
"ZULOAGA Y ZABALETA, Ignacio",Spanish/Basque,painter,"b. 1870, Eibar, d. 1945, Madrid"
"CRUQUIUS, Nicolaas Samuel",Dutch engineer and amateur,painter,"b. 1678, Vlieland, d. 1754, Spaarndam"
PENSIONANTE DEL SARACENI,painter of unknown,nationality,active in the 1610s in Rome
"MASSARI, Giorgio",Italian,architect,"b. 1687, Venezia, d. 1766, Venezia"
"ROESEN, Hendrik",Flemish,sculptor,active 1500-1525 in Leuven
"QUEIROLO, Francesco",Italian,sculptor,"b. 1704, Genova, d. 1762, Genova"
"BELLE, Clément-Louis-Marie-Anne",French,painter,"b. 1722, Paris, d. 1806, Paris"
"ALMA-TADEMA, Lawrence",English painter and,designer,"b. 1836, Dronrijp, d. 1912, Wiesbaden"
"JORDAENS, Hans III",Flemish,painter,"b. 1595, Antwerpen, d. 1643, Antwerpen"
