Ime_slikarja,Narodnost,Smer,Letnice_kraj
"THORNHILL, Sir James",English,painter,"b. 1676, Melcombe Regis, d. 1734, Weymouth"
"RICHTER, Ferdinand",German,painter,"b. 1693, Breslau, d. 1737"
"SICKERT, Walter Richard",English painter and,printmaker,"b. 1860, München, d. 1942, Bathampton"
"VIEN, Joseph-Marie",French,painter,"b. 1716, Montpellier, d. 1809, Paris"
"DANDRÉ-BARDON, Michel-François",French,painter,"b. 1700, Aix-en-Provence, d. 1783, Paris"
"BLOEMAERT, Hendrick",Dutch,painter,"b. 1601, Utrecht, d. 1672, Utrecht"
"MILLET, Jean-François","French painter, Barbizon",school,"b. 1814, Gruchy, d. 1875, Barbizon"
"HOUBRAKEN, Arnold",Dutch,painter,"b. 1660, Dordrecht, d. 1719, Amsterdam"
"COUSIN, Jean the Elder",French,painter,"b. ca. 1495, Soucy, d. ca. 1560, Paris"
BARTOLO DI FREDI,"Italian painter, Sienese",school,"b. ca. 1330, Siena, d. ca. 1410, Siena"
"MOSTAERT, Jan",Dutch,painter,"b. ca. 1475, Haarlem, d. 1555/56, Haarlem"
"GÉRICAULT, Théodore",French,painter,"b. 1791, Rouen, d. 1824, Paris"
"ALT, Rudolf von",Austrian,painter,"b. 1812, Wien, d. 1905, Wien"
"SCHILLEMANS, François",Dutch,printmaker,"b. 1575, Middelburg, d. ca. 1620, Middelburg"
"ARTHOIS, Jacques d'","Flemish painter,",draughtsman,"b. 1613, Bruxelles, d. 1686, Bruxelles"
"ROMANELLI, Giovanni Francesco","Italian painter, Roman",school,"b. 1610, Viterbo, d. 1662, Viterbo"
"GOGH, Vincent van",Dutch,painter,"b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise"
MASTER of Elsloo,Netherlandish,sculptor,active 1510-1530 in Limburg
CESARE da Sesto,"Italian painter, Lombard",school,"b. 1477, Sesto Calende, d. 1523, Milano"
"TROYEN, Rombout van",Dutch,painter,"b. 1605, Amsterdam, d. 1656, Amsterdam"
"SNAYERS, Pieter",Flemish,painter,"b. 1592, Antwerpen, d. 1667, Bruxelles"
"ASSCHE, Henri van",Belgian,painter,"b. 1774, Bruxelles, d. 1841, Bruxelles"
"WERFF, Pieter van der",Dutch,painter,"b. 1665, Kralingen, d. 1722, Rotterdam"
"LEONI, Pompeo",Italian,sculptor,"b. 1533, d. 1608, Madrid"
"TIEPOLO, Lorenzo","Italian painter, Venetian",school,"b. 1736, Venezia, d. 1776, Madrid"
"SALIMBENI, Ventura","Italian painter, Sienese",school,"b. 1568, Siena, d. 1613, Siena"
"VOGLER, Paul",French,painter,"b. 1852, Paris, d. 1904, Verneuil-sur-Seine"
MASTER of the Palazzo Venezia Madonna,Italian,painter,active around 1350 in Siena
"RAINALDI, Carlo",Italian,architect,"b. 1611, Roma, d. 1691, Roma"
